name,categories,address,lat,lng,distance,city
The Book Grocer,Bookstore,,-37.837622,144.995999,6864,South Yarra
Good News Book House,Bookstore,1027 Whitehorse Road,-37.818128338676956,145.12518714621137,5031,Box Hill
Book Affair,Bookstore,287 Smith St,-37.80027,144.9839,8997,Fitzroy
Book Grocer,Bookstore,206 Bourke St,-37.81291,144.96702,9833,Melbourne
The Book Grocer,Bookstore,286 Brunswick Street,-37.7989,144.9786,9480,Fitzroy
The Book Grocer,Bookstore,455 Bourke Street,-37.81527,144.96054,10311,Melbourne
The Book Grocer,Bookstore,165 Swanston Street,-37.813913,144.965694,9913,Melbourne
The Book Grocer,Bookstore,140 Bourke St,-37.812641,144.969259,9654,Melbourne
The Book Grocer,Bookstore,287 Little Collins St,-37.814927,144.965139,9930,Melbourne
Book Affair,Bookstore,Elgin Street,-37.797352770545274,144.9693607283613,10282,Carlton
Inspiration Adult Book Store,Bookstore,,-37.85731200596345,144.99152721071488,7553,
The Book Grocer,Bookstore,263 High St.,-37.77264,144.99812,9915,Northcote
The Book Grocer,Bookstore,201 Spencer St.,-37.81639,144.95261,10959,Docklands
Canterbury Books,Bookstore,,-37.824355,145.081599,1703,
The Book Grocer,Bookstore,147-149 Russell St,-37.81300678505016,144.9682491466126,9727,Melbourne
Sainsbury's Books Pty Ltd,Bookstore,534 Riversdale Road,-37.83192574000541,145.05823390641237,1571,Camberwell
the book grocer,Bookstore,452 Sydney Road,-37.772369384765625,144.96495056152344,12093,
Gold's Book and Gift Company,Bookstore,3-13R William Street,-37.869441,144.993731,7858,Melbourne
Pauline Books & Media,Bookstore,7 Denmark Hill Road,-37.832518,145.054004,1884,
Dirt Cheap Books,Bookstore,,-37.830462831997025,145.0568664156024,1755,Camberwell
Book Affair,Bookstore,,-37.775397,144.960742,12191,
The Book Grocer,Bookstore,415 Elizabeth St.,-37.80918,144.96056,10500,Melbourne
Continental Bookshop,Bookstore,439–443 Burke Road,-37.84556901306103,145.05399152661045,1934,Boroondara
adventist Book Centre,Bookstore,,-37.824233,145.166771,8302,
The Book Grocer,Bookstore,464 Collins St,-37.81787788882015,144.95883841007142,10388,Melbourne
The Book Grocer,Bookstore,452 Sydney Rd.,-37.76746,144.96228,12615,Brunswick
ACU Book Store,College Bookstore,,-37.807676,144.978315,9091,Fitzroy
2nd book shop,Bookstore,,-37.816244,144.968586,9599,
Art Book Fair,Bookstore,NGV Hall,-37.822436,144.969346,9379,Melbourne
Second Hands Book,Bookstore,,-37.81507925425275,144.96803770145902,9680,
Monash Book And Merchandise Store,College Bookstore,,-37.912135,145.133526,9723,Clayton
Thesaurus Books,Bookstore,29 Church St,-37.91312,144.99373,10904,Brighton
the leaf bookshop,Bookstore,,-37.863365,145.0804,2827,Ashburton
Federation Square Book Market,Bookstore,Federation Square,-37.81722927084524,144.96933978173965,11251,Melbourne
Victoria University Book Shop,College Bookstore,"Footscray Park Campus, Ballarat Rd",-37.793017314047184,144.89974780538554,12557,Footscray
The Book Grocer,Bookstore,263 High St.,-37.77264,144.99812,5798,Northcote
the book grocer,Bookstore,452 Sydney Road,-37.772369384765625,144.96495056152344,6921,
The Book Grocer,Bookstore,452 Sydney Rd.,-37.76746,144.96228,6627,Brunswick
Book Affair,Bookstore,,-37.775397,144.960742,7410,
Book Planet,Bookstore,608 Ferntree Gully Rd,-37.9045899741834,145.16252517700195,24409,Wheelers Hill
The Book Grocer,Bookstore,286 Brunswick Street,-37.7989,144.9786,9058,Fitzroy
Book Affair,Bookstore,287 Smith St,-37.80027,144.9839,9074,Fitzroy
Book Grocer,Bookstore,Puckle street,-37.766983,144.922264,9240,Moonee Ponds
Book Affair,Bookstore,Elgin Street,-37.797352770545274,144.9693607283613,9179,Carlton
Blue Guitar Book Shop,Bookstore,,-37.77357,144.971315,6731,
Book Grocer,Bookstore,206 Bourke St,-37.81291,144.96702,10865,Melbourne
The Book Grocer,Bookstore,455 Bourke Street,-37.81527,144.96054,11319,Melbourne
The Book Grocer,Bookstore,165 Swanston Street,-37.813913,144.965694,11011,Melbourne
The Book Grocer,Bookstore,140 Bourke St,-37.812641,144.969259,10770,Melbourne
The Book Grocer,Bookstore,287 Little Collins St,-37.814927,144.965139,11134,Melbourne
oak st book shop,Bookstore,,-37.722628,144.923902,7581,
The Book Grocer,Bookstore,201 Spencer St.,-37.81639,144.95261,11717,Docklands
The Book Grocer,Bookstore,415 Elizabeth St.,-37.80918,144.96056,10695,Melbourne
The Book Grocer,Bookstore,147-149 Russell St,-37.81300678505016,144.9682491466126,10838,Melbourne
Book Frenzy,Bookstore,"500 Chapel St, South Yarra VIC 3141",-37.842818,144.995101,13579,South Yarra
The Book Grocer,Bookstore,,-37.837622,144.995999,12996,South Yarra
The Book Grocer,Bookstore,464 Collins St,-37.81787788882015,144.95883841007142,11644,Melbourne
Collins Bookstore,Bookstore,2-50 Murray Rd,-37.738451536366114,145.02918755224508,2541,Preston
ACU Book Store,College Bookstore,,-37.807676,144.978315,10000,Fitzroy
robinsons bookshop,Bookstore,,-37.739879,145.031252,2781,
Marvel Bookbinding & Printfinishing Pty Ltd,Bookstore,21 Kylta Rd,-37.732456,145.044534,3281,
The Book Grocer,Bookstore,,-37.81669,144.89159,14868,Yarraville
